name
"Beethoven,  Ludwig  van"
"Weber,  Carl  Maria Von"
"Hummel,  Johann"
""
"Rossini,  Gioachino"
"Mozart,  Wolfgang  Amadeus"
"Kalliwoda,  Johann  W."
"Bellini,  Vincenzo"
"Romberg,  Bernhard"
"Pacini,  Giovanni"
"Onslow,  George"
"Thalberg,  Sigismond"
"Herz,  Henri"
"Lindpaintner,  Peter  Von"
"Haydn,  Franz  Joseph"
"Mendelssohn,  Felix"
"Spohr,  Louis"
"Nini,  Alessandro"
"Donizetti,  Gaetano"
"Reicha,  Antoine(-Joseph)"
"Herold,  Louis  Joseph Ferdinand [Hérold]"
"Bochsa,  Robert  N. C."
"Vieuxtemps,  Henri"
"Marschner,  Heinrich  August"
"Bennett,  William  Sterndale"
"Meyerbeer,  Giacomo"
"Ries,  Ferdinand"
"Kreutzer,  Conradin"
"Cherubini,  Luigi"
"Mercadante,  Giuseppe  Saverio"
"Traditional,"
"Heller,  Stephen [István]"
"Mehul [Méhul],  Etienne  Nicolas"
"Loder,  George, Jr."
"Beriot,  Charles-Auguste  de"
"Reissiger,  Karl  Gottlieb"
"Furstenau,  Anton  Bernhard"
"Berlioz,  Hector"
"Verdi,  Giuseppe"
"Chopin,  Frédéric"
"Bristow,  George  Frederick"
"Hiller,  Ferdinand"
"Eisenhofer,  Franz  Xaver"
"Dussek,  Jan  Ladislav"
"Moscheles,  Ignaz"
"Lachner,  Franz"
"Gade,  Niels"
"Jacobi,  Frederick"
"Granz,  Norman"
"Schmitz,  Henry"
"Schumann,  Robert"
"Costa,  Sir  Michael"
"Nicholson,  Charles"
"Maurer,  Ludwig  Wilhelm"
"Benedict,  Jules"
"Fuchs,  H."
"Schubert,  Franz"
"David,  Ferdinand"
"Spontini,  Gasparo"
"Heinemeyer,  Ernst  Wilhelm"
"Dancla,  Jean  Charles"
"Wallace,  William  Vincent"
"Litolff,  Henry  Charles"
"Kalkbrenner,  Friedrich [Frédéric]"
"Haase,  Carl  F.W."
