work_id,name,role,instrument
8834*4,"Otto, Antoinette",S,Soprano
3642*,"Scharfenberg, William",A,Piano
3642*,"Hill, Ureli Corelli",A,Violin
3642*,"Derwort, G. H.",A,Viola
3642*,"Boucher, Alfred",A,Cello
3642*,"Rosier, F. W.",A,Contrabass
8835*1,"Otto, Antoinette",S,Soprano
8835*1,"Horn, Charles Edward",S,Tenor
8837*6,"Horn, Charles Edward",S,Tenor
8336*4,"Otto, Antoinette",S,Soprano
8838*2,"Otto, Antoinette",S,Soprano
3659*,"Boucher, Alfred",S,Cello
53076*2,"Otto, Antoinette",S,Soprano
51568*2,"Timm, Henry C.",S,Piano
51568*3,"Timm, Henry C.",S,Piano
8834*4,"Otto, Antoinette",S,Soprano
8834*4,"Timm, Henry C.",A,Piano
4567*,"Scharfenberg, William",S,Piano
5150*,"Otto, Antoinette",S,Soprano
5150*,"Timm, Henry C.",A,Piano
5161*,"Boucher, Alfred",S,Cello
5162*2,"Scharfenberg, William",S,Piano
5162*2,Lehman,A,Flute
5162*2,"Groneveldt, Theodore W.",A,Clarinet
5162*2,"Hegelund, H. W.",A,Bassoon
5162*2,"Woehning, F. C.",A,French Horn
5162*2,"Rosier, F. W.",A,Contrabass
5162*3,,,
5162*3,"Scharfenberg, William",S,Piano
5162*3,Lehman,A,Flute
5162*3,"Groneveldt, Theodore W.",A,Clarinet
5162*3,"Hegelund, H. W.",A,Bassoon
5162*3,"Woehning, F. C.",A,French Horn
5162*3,"Rosier, F. W.",A,Contrabass
5166*,,,
5166*,"Rakeman, Frederick",S,Piano
5166*,"Scharfenberg, William",S,Piano
8955*13,,,
8955*13,"Otto, Antoinette",S,Soprano
8955*13,"Timm, Henry C.",A,Piano
5172*,,,
5172*,"Scharfenberg, William",S,Piano
5174*,Lehman,A,Flute
5174*,"Wiese, Frederick",A,Oboe
5174*,"Groneveldt, Theodore W.",A,Clarinet
5174*,"Hegelund, H. W.",A,Bassoon
5174*,"Woehning, F. C.",A,French Horn
3666*,"Loder, Edward",S,Vocalist
52425*,"Gröneveldt, W. Theodore",A,Clarinet
52425*,"Reiff, Anton, Sr.",A,Bassoon
52425*,"Trojsi, Gaetano",A,French Horn
52425*,"Hill, Ureli Corelli",A,Violin
52425*,"Wiegers, Louis",A,Viola
52425*,"Boucher, Alfred",A,Cello
52425*,"Rosier, F. W.",A,Contrabass
3674*,"Loder, Edward",S,Vocalist
3677*1,"Castellan, Jeanne Anais",S,Soprano
5190*3,"Castellan, Jeanne Anais",S,Soprano
5190*2,"Castellan, Jeanne Anais",S,Soprano
3999*1,"Scharfenberg, William",A,Piano
3999*1,"Kyle, John A.",A,Flute
3999*1,"Woehning, F. C.",A,French Horn
3999*1,"Boucher, Alfred",A,Cello
3999*1,"Wiese, Frederick",A,Oboe
3999*1,Johnson,A,Tenor
3999*1,"Rosier, F. W.",A,Contrabass
3999*2,"Scharfenberg, William",A,Piano
3999*2,"Kyle, John A.",A,Flute
3999*2,"Woehning, F. C.",A,French Horn
3999*2,"Boucher, Alfred",A,Cello
3999*2,"Wiese, Frederick",A,Oboe
3999*2,Johnson,A,Tenor
3999*2,"Rosier, F. W.",A,Contrabass
3700*1,"Castellan, Jeanne Anais",S,Soprano
3704*1,"Kyle, John A.",A,Flute
3704*1,"Wiese, Frederick",A,Oboe
3704*1,"Gröneveldt, W. Theodore",A,Clarinet
3704*1,"Woehning, F. C.",A,French Horn
3704*1,"Reiff, Anton, Sr.",A,Bassoon
3704*2,"Kyle, John A.",A,Flute
3704*2,"Wiese, Frederick",A,Oboe
3704*2,"Gröneveldt, W. Theodore",A,Clarinet
3704*2,"Woehning, F. C.",A,French Horn
3704*2,"Reiff, Anton, Sr.",A,Bassoon
3712*,"Kyle, John A.",A,Flute
3712*,"Gröneveldt, W. Theodore",A,Clarinet
7773*1,"Timm, Henry C.",S,Piano
3719*,"Vieuxtemps, Henri",S,Violin
3722*,Valtellina,S,Tenor
3208*2,"Ricci, Amalia",S,Vocalist
3208*2,Sanquirico,S,Vocalist
3730*,Sanquirico,S,Vocalist
3734*1,"Ricci, Amalia",S,Vocalist
6709*13,"Loder, Edward",S,Vocalist
50710*,"Gröneveldt, W. Theodore",S,Clarinet
8863*4,"Loder, Edward",S,Vocalist
8837*14,"Loder, Edward",S,Vocalist
8837*14,De Luce,S,Vocalist
